PT. DWIMAJAYA UTAMA
PT. HUTAN DOMAS RAYA
PT. CARUS INDONESIA
PT. HUTAN MULYA
PT. KAYU WAJA
PT. SARANA PIRANTI UTAMA
PT. GRAHA SENTOSA PERMAI
PT. GAUNG SATYA GRAHA
PT. WANA INTI KAHURIPAN INTIGA
PT. PRIMA SEJAHTERA INTERNATIONAL TIGA
PT. KAYU ARA JAYA RAYA
PT. KARYA DELTA PERMAI
PT. PRABU ALASKA
PT. RIMBAKAYU ARTHAMAS
PT. MITRA PERDANA PALANGKA
PT. SINDO LUMBER
PT. INDEXIM UTAMA
PT. ESA YASA DINAMIKA
PT. KAHAYAN TERANG ABADI
PT. MAHKOTA RIMBA UTAMA
PT. SARI BUMI KUSUMA
PT. MERANTI MUSTIKA
PT. ALBA PRIMA NUSANTARA
PT. GEMA HUTANI LESTARI
PT. KURNIATAMA SEJAHTERA
PT. ANUGERAH LAHAN KALTIM
PT. SAMUDERA REJEKI PERKASA
PT. CAKRA SEJATI SEMPURNA
PT. MANCARAYA AGRO MANDIRI
PT. PEMANTANG ABADITAMA
PT. MANCARAYA AGRO MANDIRI
PT. MUTIARA ALAS KHATULISTIWA
PT. CAKRA SEJATI SEMPURNA
PT. SAMUDERA REJEKI PERKASA
PT. LOA HAUR
PT. SUPRABARI MAPANINDO MINERAL
PT. JOLOY MOSAK
PT. ASTA WEDYA BERSAMA
PT. WANA BAKTI PERSADA UTAMA
PT. PERMATA DELAPAN EMPAT
PT. CENTRAL KALIMANTAN ABADI
PT. ERYTHRINA NUGRAHAMEGAH
PT. AMPRAH MITRA JAYA
PT. INTRADO JAYA INTIGA
PT. POLEKO YUBARSONS
PT. WIJAYA KENCANA INDONESIA
KOPERASI PABDEH BLOM
KOPERASI PERKEBUNAN PABDEH BLOM
PT. INTERTROPIC ADITAMA
PT. GUNUNG MURO WAHANAJAYA
PT. ADIMITRA LESTARI
PT. PANDUJAYA GEMILANG AGUNG
PT. KAYU TRIBUANA RAMA
PT. AGATHIS ALAM INDONESIA
PT. TRIMEGAH BANGUN PERSADA
PT. GANE PERMAI SENTOSA
PT. GANE TAMBANG SENTOSA
PT. BUDHI JAYA MINERAL
PT. DUADJA CORPORATION II
PT. WANA KENCANA SEJATI
PT. GANDA ALAM MAKMUR
PT. INDOMINCO MANDIRI
PT. DASA INTIGA
PT. PERINTIS ADIWANA
PT. BOMA RESOURCES
PT. TRI USAHA BARU
PT. SUKA JAYA MAKMUR
PT. WIDYA ARTHA PERDANA
PT. KALTIM NUSANTARA COAL
PT. WEDA BAY NICKEL
PT. INDONESIA WEDA BAY INDUSTRIAL PARK
PT. SAPPHIRE INDONESIA MINING
PT. KEDAP SAYAAG
PT. MULIA AGRO UTAMA
CV. ANUGERAH EMPAT MANGOLI MANDIRI
PT. PANAMBANGAN
PT. TRIWIRAASTA BHARATA
PT Trikorindotama Wanakarya
PT CITA MINERAL INVESTINDO TBK
PT. PAPUA HUTAN LESTARI MAKMUR
PT. SINAR KALBAR RAYA
