NoRakit,nomorBatang,barcode,jenisKayu,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
1,1104,1713A46TEST0000000000013448,Keruing,15.4,65,52,58,4.07,,0
2,827,1713A46TEST0000000000013171,Keruing,14,78,60,69,5.24,,0
3,304,1713A46TEST0000000000012648,Meranti Merah,19.9,59,41,50,3.91,,0
4,1162,1713A46TEST0000000000013506,Meranti Merah,16.9,74,58,66,5.78,,0
5,1429,1713A46TEST0000000000013773,Meranti Merah,15.9,67,50,58,4.2,,0
6,2244,1713A46TEST0000000000014588,Meranti Merah,10,62,50,56,2.46,,0
7,2059,1713A46TEST0000000000014403,Benuas,13.6,104,87,95,8.72,26,9.5
8,2953,1713A46TEST0000000000015297,Meranti Merah,13.7,75,61,68,4.98,,0
9,2044,1713A46TEST0000000000014388,Meranti Merah,14.6,80,62,71,5.78,,0
10,3342,1713A46TEST0000000000015686,Meranti Kuning,15.8,66,51,58,4.17,,0
11,443,1713A46TEST0000000000012787,Keruing,13.1,94,72,83,7.09,,0
12,3107,1713A46TEST0000000000015451,Meranti Batu,13.2,61,45,53,2.91,,0
13,310,1713A46TEST0000000000012654,Meranti Merah,15.3,78,57,67,5.39,,0
14,1754,1713A46TEST0000000000014098,Keruing,19.2,88,67,77,8.94,,0
15,1226,1713A46TEST0000000000013570,Meranti Merah,15.2,60,50,55,3.61,,0
16,2139,1713A46TEST0000000000014483,Benuas,16.8,65,55,60,4.75,,0
17,2593,1713A46TEST0000000000014937,Meranti Merah,22.2,65,51,58,5.87,,0
18,354,1713A46TEST0000000000012698,Benuas,16.4,56,42,49,3.09,,0
19,3116,1713A46TEST0000000000015460,Keruing,17.2,53,42,47,2.98,,0
20,2120,1713A46TEST0000000000014464,Keruing,17.4,64,43,53,3.84,,0
21,1225,1713A46TEST0000000000013569,Meranti Merah,20,91,63,77,9.31,,0
22,554,1713A46TEST0000000000012898,Keruing,18,60,41,50,3.53,,0
23,1369,1713A46TEST0000000000013713,Meranti Merah,14.1,66,49,57,3.6,,0
24,1940,1713A46TEST0000000000014284,Meranti Batu,13.5,70,53,61,3.64,15,7.7
25,2895,1713A46TEST0000000000015239,Meranti Batu,15,62,45,53,3.31,,0
26,3145,1713A46TEST0000000000015489,Benuas,17.5,80,61,70,6.23,17,7.5
27,2238,1713A46TEST0000000000014582,Meranti Merah,10.4,87,74,80,5.05,13,3.4
28,853,1713A46TEST0000000000013197,Meranti Merah,14.8,60,46,53,3.27,,0
29,2684,1713A46TEST0000000000015028,Meranti Merah,14.1,75,62,68,5.12,,0
30,603,1713A46TEST0000000000012947,Benuas,13.6,52,41,46,2.12,10,6
31,3354,1713A46TEST0000000000015698,Keruing,22,64,49,56,5.42,,0
32,254,1713A46TEST0000000000012598,Benuas,16.4,56,51,53,3.62,,0
33,2011,1713A46TEST0000000000014355,Keruing,15.1,99,75,87,8.98,,0
34,2500,1713A46TEST0000000000014844,Meranti Merah,18,76,57,66,6.16,,0
35,1838,1713A46TEST0000000000014182,Keruing,19.2,70,57,63,5.99,,0
36,218,1713A46TEST0000000000012562,Keruing,12.2,72,61,66,4.17,,0
37,1320,1713A46TEST0000000000013664,Keruing,22.1,91,60,75,9.76,,0
38,1010,1713A46TEST0000000000013354,Keruing,20.1,61,44,52,4.27,,0
39,835,1713A46TEST0000000000013179,Meranti Merah,18.8,63,46,54,4.31,,0
40,1323,1713A46TEST0000000000013667,Keruing,20.2,67,50,58,5.34,,0
41,2231,1713A46TEST0000000000014575,Keruing,21.1,72,49,60,5.97,,0
42,1557,1713A46TEST0000000000013901,Keruing,15.5,98,76,87,9.21,,0
43,2513,1713A46TEST0000000000014857,Benuas,13.5,63,52,57,3.44,,0
44,936,1713A46TEST0000000000013280,Benuas,11.1,65,56,60,3.14,,0
45,3027,1713A46TEST0000000000015371,Keruing,13.5,57,42,49,2.55,,0
46,2046,1713A46TEST0000000000014390,Meranti Merah,14,52,50,51,2.86,,0
47,69,1713A46TEST0000000000012413,Meranti Putih,13.3,56,52,54,3.05,,0
48,2610,1713A46TEST0000000000014954,Keruing,18.7,58,48,53,4.13,,0
49,522,1713A46TEST0000000000012866,Keruing,19.3,79,51,65,6.4,,0
50,259,1713A46TEST0000000000012603,Keruing,19.1,59,40,49,3.6,,0
51,2528,1713A46TEST0000000000014872,Keruing,17.9,58,45,51,3.66,,0
52,2091,1713A46TEST0000000000014435,Keruing,20.7,73,49,61,6.05,,0
53,3303,1713A46TEST0000000000015647,Keruing,12.8,72,60,66,4.38,,0
54,2641,1713A46TEST0000000000014985,Keruing,19.9,73,55,64,6.4,,0
55,926,1713A46TEST0000000000013270,Benuas,15.9,72,60,66,5.44,,0
56,54,1713A46TEST0000000000012398,Meranti Kuning,18.6,61,49,55,4.42,,0
57,648,1713A46TEST0000000000012992,Meranti Merah,20.9,84,70,77,9.73,,0
58,2759,1713A46TEST0000000000015103,Benuas,17.6,82,67,74,6.93,19,8.4
59,2586,1713A46TEST0000000000014930,Meranti Merah,13.7,84,65,74,5.89,,0
60,859,1713A46TEST0000000000013203,Meranti Batu,16.2,87,65,76,7.35,,0
61,1994,1713A46TEST0000000000014338,Meranti Putih,8.8,67,58,62,2.66,,0
62,1492,1713A46TEST0000000000013836,Meranti Merah,18.4,63,53,58,4.86,,0
63,3042,1713A46TEST0000000000015386,Keruing,19.4,65,52,58,5.13,,0
64,108,1713A46TEST0000000000012452,Meranti Merah,20.7,72,57,64,6.66,,0
65,176,1713A46TEST0000000000012520,Meranti Merah,14.4,75,58,66,4.81,9,2.4
66,814,1713A46TEST0000000000013158,Benuas,19.3,72,56,64,5.83,14,6.1
67,2952,1713A46TEST0000000000015296,Keruing,13.5,54,47,50,2.65,,0
68,2857,1713A46TEST0000000000015201,Keruing,19.6,63,40,51,4,,0
69,3125,1713A46TEST0000000000015469,Meranti Batu,20.5,76,62,69,7.67,,0
70,2385,1713A46TEST0000000000014729,Benuas,11.2,62,53,57,2.86,,0
71,1755,1713A46TEST0000000000014099,Keruing,20,84,61,72,8.14,,0
72,2795,1713A46TEST0000000000015139,Benuas,20.8,71,54,62,6.28,,0
73,1087,1713A46TEST0000000000013431,Keruing,16.9,79,59,69,6.32,,0
74,1867,1713A46TEST0000000000014211,Meranti Merah,12.4,125,109,117,13.33,,0
75,651,1713A46TEST0000000000012995,Benuas,15.3,61,52,56,3.77,,0
76,2505,1713A46TEST0000000000014849,Keruing,19.3,58,41,49,3.64,,0
77,1984,1713A46TEST0000000000014328,Benuas,15.4,67,54,60,3.39,25,22.1
78,736,1713A46TEST0000000000013080,Benuas,18,69,54,61,4.86,15,7.7
79,2971,1713A46TEST0000000000015315,Benuas,17.4,64,50,57,4.44,,0
80,2207,1713A46TEST0000000000014551,Benuas,13.3,63,43,53,2.45,19,16.4
81,2190,1713A46TEST0000000000014534,Meranti Merah,16.5,67,50,58,4.36,,0
82,1054,1713A46TEST0000000000013398,Meranti Merah,15.4,60,52,56,3.79,,0
83,2864,1713A46TEST0000000000015208,Keruing,22.4,62,42,52,4.76,,0
84,1804,1713A46TEST0000000000014148,Keruing,10.3,56,45,50,1.87,12,7.3
85,783,1713A46TEST0000000000013127,Keruing,21.6,64,40,52,4.59,,0
86,831,1713A46TEST0000000000013175,Benuas,9.9,83,74,78,4.73,,0
87,2165,1713A46TEST0000000000014509,Keruing,13,80,62,71,5.15,,0
88,913,1713A46TEST0000000000013257,Keruing,21.3,72,52,62,6.43,,0
89,80,1713A46TEST0000000000012424,Meranti Putih,13.8,68,57,62,3.62,20,13.2
90,758,1713A46TEST0000000000013102,Benuas,18.5,89,72,80,9.3,,0
91,1689,1713A46TEST0000000000014033,Meranti Merah,10.6,60,50,55,2.52,,0
92,149,1713A46TEST0000000000012493,Benuas,19.1,51,38,44,2.9,,0
93,61,1713A46TEST0000000000012405,Meranti Merah,17.9,73,68,70,6.89,,0
94,2088,1713A46TEST0000000000014432,Keruing,18.6,67,50,58,4.91,,0
95,1075,1713A46TEST0000000000013419,Meranti Merah,20.2,56,37,46,3.36,,0
96,2324,1713A46TEST0000000000014668,Meranti Merah,14.6,92,77,84,7.57,19,6.5
97,1209,1713A46TEST0000000000013553,Keruing,20.3,79,62,70,7.81,,0
98,2306,1713A46TEST0000000000014650,Keruing,17.8,59,43,51,3.64,,0
99,1560,1713A46TEST0000000000013904,Keruing,14.8,69,64,66,5.06,,0
100,764,1713A46TEST0000000000013108,Meranti Merah,20.2,61,48,54,4.63,,0
101,779,1713A46TEST0000000000013123,Meranti Merah,20.2,60,45,52,4.29,,0
102,2728,1713A46TEST0000000000015072,Keruing,9.5,68,64,66,3.25,,0
103,1543,1713A46TEST0000000000013887,Benuas,20.2,66,50,58,5.34,,0
104,2861,1713A46TEST0000000000015205,Meranti Merah,15.5,59,46,52,2.99,14,9.2
105,27,1713A46TEST0000000000012371,Meranti Merah,8.8,72,62,67,3.1,,0
106,1436,1713A46TEST0000000000013780,Benuas,18.8,51,41,46,3.12,,0
107,339,1713A46TEST0000000000012683,Meranti Merah,15.9,77,63,70,5.48,20,10.4
108,627,1713A46TEST0000000000012971,Meranti Merah,15.1,55,45,50,2.96,,0
109,3046,1713A46TEST0000000000015390,Meranti Merah,14.2,59,40,49,2.68,,0
110,2881,1713A46TEST0000000000015225,Keruing,11.4,93,87,90,7.25,,0
111,1254,1713A46TEST0000000000013598,Keruing,13.6,82,72,77,6.33,,0
112,890,1713A46TEST0000000000013234,Meranti Merah,18.7,77,61,69,6.99,,0
113,2128,1713A46TEST0000000000014472,Benuas,15.6,59,49,54,3.57,,0
114,3040,1713A46TEST0000000000015384,Keruing,12,100,85,92,7.98,,0
115,2300,1713A46TEST0000000000014644,Keruing,18.7,66,46,56,4.61,,0
116,2319,1713A46TEST0000000000014663,Meranti Merah,18.9,75,51,63,5.89,,0
117,985,1713A46TEST0000000000013329,Benuas,16.6,55,47,51,3.39,,0
118,1912,1713A46TEST0000000000014256,Meranti Putih,14.6,105,82,93,9.92,,0
119,1322,1713A46TEST0000000000013666,Keruing,16,56,46,51,3.27,,0
120,3077,1713A46TEST0000000000015421,Meranti Merah,21,78,62,70,7.24,20,10.4
121,2182,1713A46TEST0000000000014526,Meranti Merah,12.6,67,56,61,3.68,,0
122,542,1713A46TEST0000000000012886,Keruing,18,71,58,64,5.79,,0
123,2338,1713A46TEST0000000000014682,Meranti Merah,15.6,70,53,61,4.56,,0
124,1927,1713A46TEST0000000000014271,Meranti Merah,13.6,64,50,57,3.47,,0
125,949,1713A46TEST0000000000013293,Meranti Merah,15.4,53,46,49,2.9,,0
126,3120,1713A46TEST0000000000015464,Keruing,14.2,65,56,60,4.01,,0
127,1549,1713A46TEST0000000000013893,Meranti Merah,8.5,119,95,107,7.64,,0
128,2541,1713A46TEST0000000000014885,Lambin,19.1,69,54,61,5.58,,0
129,1175,1713A46TEST0000000000013519,Keruing,19.4,65,43,54,4.44,,0
130,1943,1713A46TEST0000000000014287,Keruing,11.3,98,87,92,7.35,12,2.2
131,497,1713A46TEST0000000000012841,Keruing,19,70,53,61,5.55,,0
132,3064,1713A46TEST0000000000015408,Meranti Batu,14.8,100,77,88,9,,0
133,807,1713A46TEST0000000000013151,Benuas,15.4,119,99,109,13.75,20,4.3
134,633,1713A46TEST0000000000012977,Keruing,14.1,53,39,46,2.34,,0
135,1006,1713A46TEST0000000000013350,Meranti Merah,11.4,50,42,46,1.89,,0
136,3212,1713A46TEST0000000000015556,Keruing,9.9,60,51,55,2.35,,0
137,819,1713A46TEST0000000000013163,Meranti Merah,21.2,93,68,80,10.66,,0
138,1109,1713A46TEST0000000000013453,Benuas,8.3,76,72,74,2.97,27,16.9
139,2592,1713A46TEST0000000000014936,Meranti Merah,15.7,78,65,71,6.22,,0
140,2886,1713A46TEST0000000000015230,Keruing,12.5,85,65,75,5.52,,0
141,3163,1713A46TEST0000000000015507,Meranti Batu,17.5,60,46,53,3.86,,0
142,1285,1713A46TEST0000000000013629,Meranti Merah,18.5,69,52,60,5.23,,0
143,2067,1713A46TEST0000000000014411,Benuas,13.1,103,91,97,9.68,,0
144,156,1713A46TEST0000000000012500,Keruing,19.3,68,53,60,5.46,,0
145,3348,1713A46TEST0000000000015692,Keruing,9,102,87,94,6.25,,0
146,2673,1713A46TEST0000000000015017,Meranti Merah,14.3,78,67,72,5.82,,0
147,1479,1713A46TEST0000000000013823,Keruing,20.2,58,40,49,3.81,,0
148,1456,1713A46TEST0000000000013800,Benuas,14.3,67,60,63,4.46,,0
149,38,1713A46TEST0000000000012382,Meranti Merah,11,55,42,48,1.99,,0
150,535,1713A46TEST0000000000012879,Benuas,11,81,79,80,5.53,,0
151,2414,1713A46TEST0000000000014758,Keruing,21.1,67,44,55,5.01,,0
152,2517,1713A46TEST0000000000014861,Meranti Merah,13.8,61,53,57,3.52,,0
153,455,1713A46TEST0000000000012799,Meranti Batu,12.4,71,62,66,4.24,,0
154,2372,1713A46TEST0000000000014716,Meranti Batu,16.1,53,44,48,2.91,,0
155,458,1713A46TEST0000000000012802,Meranti Batu,14.7,80,65,72,5.99,,0
156,2302,1713A46TEST0000000000014646,Keruing,14.2,55,40,47,2.46,,0
157,1502,1713A46TEST0000000000013846,Meranti Merah,18,61,54,57,4.59,,0
158,2033,1713A46TEST0000000000014377,Meranti Merah,14.4,61,51,56,3.55,,0
159,3350,1713A46TEST0000000000015694,Keruing,12.3,79,75,77,5.73,,0
160,1464,1713A46TEST0000000000013808,Benuas,12.1,79,63,71,4.79,,0
161,460,1713A46TEST0000000000012804,Benuas,19.2,66,54,60,5.43,,0
162,2611,1713A46TEST0000000000014955,Keruing,14.9,49,42,45,2.37,,0
163,1037,1713A46TEST0000000000013381,Keruing,21.3,63,42,52,4.52,,0
164,2798,1713A46TEST0000000000015142,Benuas,16.7,65,46,55,3.8,10,4.2
165,984,1713A46TEST0000000000013328,Meranti Merah,18.7,67,47,57,4.77,,0
166,1798,1713A46TEST0000000000014142,Meranti Batu,11.9,61,47,54,2.73,,0
167,538,1713A46TEST0000000000012882,Benuas,11.9,68,62,65,3.95,,0
168,1932,1713A46TEST0000000000014276,Meranti Merah,21,77,63,70,8.08,,0
169,498,1713A46TEST0000000000012842,Keruing,18.4,77,58,67,6.49,,0
170,3140,1713A46TEST0000000000015484,Meranti Merah,12.3,77,67,72,5.01,,0
171,1911,1713A46TEST0000000000014255,Meranti Putih,17.2,57,50,53,3.79,,0
172,46,1713A46TEST0000000000012390,Meranti Merah,19.2,65,48,56,4.73,,0
173,1518,1713A46TEST0000000000013862,Keruing,15.2,79,70,74,6.54,,0
174,3062,1713A46TEST0000000000015406,Meranti Merah,20.2,64,45,54,4.63,,0
175,1698,1713A46TEST0000000000014042,Meranti Merah,13.6,95,76,85,7.72,,0
176,1859,1713A46TEST0000000000014203,Meranti Merah,15.3,60,50,55,3.64,,0
177,3104,1713A46TEST0000000000015448,Keruing,22.4,79,61,70,8.62,,0
178,1055,1713A46TEST0000000000013399,Keruing,17.3,63,43,53,3.82,,0
179,2658,1713A46TEST0000000000015002,Keruing,17.4,56,44,50,2.91,17,14.7
180,723,1713A46TEST0000000000013067,Benuas,12.3,98,88,93,8.36,,0
181,2609,1713A46TEST0000000000014953,Keruing,16.7,77,50,63,5.21,,0
182,1594,1713A46TEST0000000000013938,Keruing,20.4,84,57,70,7.85,,0
183,1251,1713A46TEST0000000000013595,Meranti Putih,22.4,68,43,55,5.32,,0
184,13,1713A46TEST0000000000012357,Meranti Merah,17,64,50,57,4.34,,0
185,1193,1713A46TEST0000000000013537,Lambin,18.6,68,58,63,5.8,,0
186,668,1713A46TEST0000000000013012,Keruing,16.8,72,57,64,5.4,,0
187,2639,1713A46TEST0000000000014983,Meranti Merah,21.6,67,54,60,6.11,,0
188,446,1713A46TEST0000000000012790,Keruing,20.8,81,58,69,7.78,,0
189,2651,1713A46TEST0000000000014995,Meranti Merah,15.9,88,64,76,6.75,17,6.4
190,2781,1713A46TEST0000000000015125,Keruing,22,58,41,49,4.15,,0
191,2711,1713A46TEST0000000000015055,Keruing,14.3,76,63,69,5.35,,0
192,692,1713A46TEST0000000000013036,Lambin,13,94,70,82,6.87,,0
193,154,1713A46TEST0000000000012498,Meranti Merah,17.3,54,36,45,2.75,,0
194,374,1713A46TEST0000000000012718,Keruing,20.4,64,44,54,4.27,14,8.6
195,2337,1713A46TEST0000000000014681,Meranti Merah,12,81,67,74,5.16,,0
196,19,1713A46TEST0000000000012363,Meranti Merah,16,59,45,52,3.4,,0
197,111,1713A46TEST0000000000012455,Meranti Merah,13.5,90,74,82,7.13,,0
198,3361,1713A46TEST0000000000015705,Meranti Merah,16,83,69,76,7.26,,0
199,2740,1713A46TEST0000000000015084,Keruing,14.2,69,53,61,4.15,,0
200,418,1713A46TEST0000000000012762,Benuas,15.8,58,46,52,3.36,,0
201,2131,1713A46TEST0000000000014475,Benuas,16,66,58,62,4.83,,0
202,1340,1713A46TEST0000000000013684,Meranti Putih,21.1,91,73,82,11.14,,0
203,2382,1713A46TEST0000000000014726,Mersawa,13,65,53,59,3.55,,0
204,3073,1713A46TEST0000000000015417,Keruing,11.9,66,58,62,3.59,,0
205,2404,1713A46TEST0000000000014748,Keruing,20.5,69,51,60,5.8,,0
206,2560,1713A46TEST0000000000014904,Keruing,19.8,60,44,52,4.2,,0
207,543,1713A46TEST0000000000012887,Keruing,15.1,54,38,46,2.51,,0
208,1368,1713A46TEST0000000000013712,Meranti Putih,19.6,64,53,58,5.18,,0
209,945,1713A46TEST0000000000013289,Meranti Merah,10.6,104,86,95,7.09,20,5.6
210,518,1713A46TEST0000000000012862,Meranti Batu,14.7,63,47,55,3.49,,0
211,1734,1713A46TEST0000000000014078,Meranti Merah,21.1,78,66,72,8.59,,0
212,3222,1713A46TEST0000000000015566,Benuas,21.6,74,54,64,6.25,18,10.1
213,2002,1713A46TEST0000000000014346,Keruing,16,80,54,67,5.64,,0
214,31,1713A46TEST0000000000012375,Meranti Merah,11.2,51,42,46,1.86,,0
215,2816,1713A46TEST0000000000015160,Meranti Merah,19.3,68,53,60,5.46,,0
216,1873,1713A46TEST0000000000014217,Benuas,16,86,71,78,6.21,30,18.8
217,885,1713A46TEST0000000000013229,Benuas,18.9,84,76,80,9.5,,0
218,3237,1713A46TEST0000000000015581,Keruing,16.9,88,70,79,8.28,,0
219,2566,1713A46TEST0000000000014910,Keruing,9.8,60,49,54,2.24,,0
220,2558,1713A46TEST0000000000014902,Keruing,15.7,71,50,60,4.44,,0
221,1216,1713A46TEST0000000000013560,Benuas,17.8,67,53,60,5.03,,0
222,373,1713A46TEST0000000000012717,Keruing,17.6,62,40,51,3.6,,0
223,1609,1713A46TEST0000000000013953,Meranti Batu,13.8,59,50,54,2.66,19,15.8
224,1658,1713A46TEST0000000000014002,Keruing,9.1,80,78,79,4.46,,0
225,541,1713A46TEST0000000000012885,Keruing,17.7,100,69,84,9.81,,0
226,1128,1713A46TEST0000000000013472,Benuas,18.5,106,79,92,12.3,,0
227,414,1713A46TEST0000000000012758,Mersawa,12.6,83,71,77,5.87,,0
228,2074,1713A46TEST0000000000014418,Keruing,20,76,50,63,6.23,,0
229,2666,1713A46TEST0000000000015010,Keruing,15.3,60,42,51,2.97,10,4.9
230,246,1713A46TEST0000000000012590,Meranti Batu,19.1,65,50,57,4.87,,0
231,1086,1713A46TEST0000000000013430,Meranti Merah,16.4,58,45,51,3.35,,0
232,1850,1713A46TEST0000000000014194,Benuas,15.3,66,58,62,3.74,24,19.1
233,2987,1713A46TEST0000000000015331,Keruing,17.7,80,61,70,6.81,,0
234,165,1713A46TEST0000000000012509,Meranti Batu,12,55,47,51,2.28,12,7
235,1534,1713A46TEST0000000000013878,Meranti Merah,12.7,74,56,65,4.21,,0
236,1809,1713A46TEST0000000000014153,Keruing,10.6,57,40,48,1.92,,0
237,845,1713A46TEST0000000000013189,Keruing,15.7,66,53,59,4.29,,0
238,2804,1713A46TEST0000000000015148,Keruing,20.4,75,48,61,5.96,,0
239,2703,1713A46TEST0000000000015047,Meranti Merah,9.8,67,61,64,3.15,,0
240,3126,1713A46TEST0000000000015470,Keruing,9.4,71,63,67,3.31,,0
241,2902,1713A46TEST0000000000015246,Keruing,18.4,89,66,77,8.57,,0
242,3174,1713A46TEST0000000000015518,Meranti Batu,10.4,93,79,86,5.67,19,6.2
243,3043,1713A46TEST0000000000015387,Mersawa,14.4,61,42,51,2.94,,0
244,1465,1713A46TEST0000000000013809,Meranti Batu,16.8,67,53,60,4.75,,0
245,2307,1713A46TEST0000000000014651,Keruing,16.7,61,43,52,3.55,,0
246,3190,1713A46TEST0000000000015534,Keruing,16.2,75,,57,4.13,,0
247,1877,1713A46TEST0000000000014221,Keruing,22.1,67,47,57,5.64,,0
248,1295,1713A46TEST0000000000013639,Benuas,21.3,92,76,84,10.47,25,11.3
249,1106,1713A46TEST0000000000013450,Keruing,16,55,42,48,2.9,,0
250,2019,1713A46TEST0000000000014363,Keruing,19.3,69,48,58,5.1,,0
251,2432,1713A46TEST0000000000014776,Keruing,20.9,68,48,58,5.52,,0
252,2967,1713A46TEST0000000000015311,Benuas,11.6,52,43,47,2.01,,0
253,3072,1713A46TEST0000000000015416,Keruing,21,72,57,64,6.76,,0
254,320,1713A46TEST0000000000012664,Keruing,16.9,64,53,58,4.47,,0
255,370,1713A46TEST0000000000012714,Mersawa,18.3,63,51,57,4.67,,0
256,2675,1713A46TEST0000000000015019,Meranti Putih,12.5,62,52,57,3.19,,0
257,2552,1713A46TEST0000000000014896,Meranti Batu,9.7,73,53,63,3.02,,0
258,1459,1713A46TEST0000000000013803,Meranti Kuning,12.3,105,84,94,7.89,23,7.6
259,2225,1713A46TEST0000000000014569,Meranti Merah,15.4,71,58,64,4.95,,0
260,719,1713A46TEST0000000000013063,Meranti Merah,8.3,58,49,53,1.83,,0
261,209,1713A46TEST0000000000012553,Keruing,15.7,83,68,75,6.94,,0
262,1535,1713A46TEST0000000000013879,Meranti Merah,16.7,86,74,80,8.15,12,2.9
263,2174,1713A46TEST0000000000014518,Keruing,21.4,68,48,58,5.65,,0
264,2949,1713A46TEST0000000000015293,Keruing,18.4,65,47,56,4.53,,0
265,753,1713A46TEST0000000000013097,Meranti Merah,18.6,92,71,81,9.58,,0
266,1264,1713A46TEST0000000000013608,Meranti Merah,15.4,56,42,49,2.9,,0
267,2192,1713A46TEST0000000000014536,Benuas,15.9,60,44,52,3.38,,0
268,479,1713A46TEST0000000000012823,Benuas,20.4,76,58,67,7.19,,0
269,1744,1713A46TEST0000000000014088,Benuas,21.1,91,71,81,10.57,12,2.8
270,2729,1713A46TEST0000000000015073,Keruing,11.2,82,68,75,4.95,,0
271,2134,1713A46TEST0000000000014478,Benuas,17.3,71,55,63,5.39,,0
272,2506,1713A46TEST0000000000014850,Keruing,12.9,74,59,66,4.41,,0
273,318,1713A46TEST0000000000012662,Meranti Merah,12.9,72,58,65,4.28,,0
274,2616,1713A46TEST0000000000014960,Keruing,13.9,49,40,44,2.11,,0
275,3041,1713A46TEST0000000000015385,Keruing,20.3,74,47,60,5.74,,0
276,1460,1713A46TEST0000000000013804,Benuas,12.6,84,76,80,6.33,,0
277,1810,1713A46TEST0000000000014154,Keruing,13.4,57,42,49,2.53,,0
278,879,1713A46TEST0000000000013223,Benuas,15.6,69,56,62,4.71,,0
279,516,1713A46TEST0000000000012860,Meranti Merah,17.9,64,47,55,4.25,,0
280,380,1713A46TEST0000000000012724,Meranti Batu,19.1,57,38,47,3.31,,0
281,1993,1713A46TEST0000000000014337,Keruing,11,61,52,56,2.71,,0
282,1096,1713A46TEST0000000000013440,Keruing,12.3,80,60,70,4.73,,0
283,1779,1713A46TEST0000000000014123,Keruing,16,61,40,50,3.14,,0
284,417,1713A46TEST0000000000012761,Meranti Merah,13.9,52,43,47,2.41,,0
285,352,1713A46TEST0000000000012696,Keruing,17.2,86,60,73,7.2,,0
286,2648,1713A46TEST0000000000014992,Meranti Kuning,12.2,72,56,64,3.75,12,4.5
287,2151,1713A46TEST0000000000014495,Meranti Kuning,10,142,136,139,15.17,,0
288,2378,1713A46TEST0000000000014722,Meranti Merah,10.8,60,51,55,2.57,,0
289,3056,1713A46TEST0000000000015400,Lambin,20.5,78,55,66,7.01,,0
290,77,1713A46TEST0000000000012421,Meranti Merah,17.7,77,62,69,6.62,,0
291,2659,1713A46TEST0000000000015003,Keruing,19.1,88,66,77,8.89,,0
292,2980,1713A46TEST0000000000015324,Meranti Merah,10.8,86,80,83,5.84,,0
293,1956,1713A46TEST0000000000014300,Benuas,9.4,59,43,51,1.92,,0
294,1623,1713A46TEST0000000000013967,Keruing,10.5,63,49,56,2.59,,0
295,1634,1713A46TEST0000000000013978,Keruing,20.3,91,59,75,8.97,,0
296,1825,1713A46TEST0000000000014169,Keruing,11.2,91,67,79,5.49,,0
297,2860,1713A46TEST0000000000015204,Meranti Merah,13.8,77,63,70,5.31,,0
298,1084,1713A46TEST0000000000013428,Keruing,20.6,65,46,55,4.89,,0
299,2776,1713A46TEST0000000000015120,Keruing,17.7,68,46,57,4.52,,0
300,1662,1713A46TEST0000000000014006,Keruing,20.3,73,52,62,6.13,,0
301,1485,1713A46TEST0000000000013829,Meranti Merah,19.5,78,60,69,7.29,,0
302,1895,1713A46TEST0000000000014239,Keruing,14.5,79,63,71,5.74,,0
303,14,1713A46TEST0000000000012358,Keruing,17.8,64,45,54,4.08,,0
304,1568,1713A46TEST0000000000013912,Keruing,15.5,100,74,87,9.21,,0
305,3347,1713A46TEST0000000000015691,Keruing,9.6,79,75,77,4.47,,0
306,1270,1713A46TEST0000000000013614,Meranti Merah,21.1,70,47,58,5.57,,0
307,1358,1713A46TEST0000000000013702,Keruing,19.2,87,62,74,8.26,,0
308,1843,1713A46TEST0000000000014187,Keruing,13.9,59,48,53,3.07,,0
309,791,1713A46TEST0000000000013135,Benuas,10.9,75,67,71,3.92,19,9.1
310,84,1713A46TEST0000000000012428,Meranti Merah,16.1,75,59,67,5.68,,0
311,2138,1713A46TEST0000000000014482,Meranti Merah,21.3,70,51,60,6.02,,0
312,690,1713A46TEST0000000000013034,Meranti Merah,17.3,67,53,60,4.89,,0
313,1648,1713A46TEST0000000000013992,Meranti Merah,8.8,66,56,61,2.57,,0
314,91,1713A46TEST0000000000012435,Meranti Batu,16.4,64,50,57,4.18,,0
315,2695,1713A46TEST0000000000015039,Keruing,10.8,61,52,56,2.66,,0
316,3115,1713A46TEST0000000000015459,Keruing,14.1,82,67,74,6.06,,0
317,219,1713A46TEST0000000000012563,Keruing,21.7,72,52,62,6.55,,0
318,3256,1713A46TEST0000000000015600,Keruing,13.8,54,42,48,2.5,,0
319,2976,1713A46TEST0000000000015320,Keruing,15.1,58,44,51,3.08,,0
320,1656,1713A46TEST0000000000014000,Meranti Merah,16.6,58,51,54,3.8,,0
321,2004,1713A46TEST0000000000014348,Keruing,20.3,73,46,59,5.55,,0
322,2366,1713A46TEST0000000000014710,Keruing,18.1,83,71,77,8.43,,0
323,1905,1713A46TEST0000000000014249,Keruing,20.2,74,55,64,6.5,,0
324,1352,1713A46TEST0000000000013696,Meranti Merah,13,76,65,70,5,,0
325,1737,1713A46TEST0000000000014081,Meranti Merah,21.1,63,51,57,5.38,,0
326,998,1713A46TEST0000000000013342,Meranti Batu,13.2,68,55,61,3.43,18,11.1
327,2917,1713A46TEST0000000000015261,Keruing,15,60,47,53,3.31,,0
328,3352,1713A46TEST0000000000015696,Keruing,19.3,63,49,56,4.75,,0
329,2253,1713A46TEST0000000000014597,Keruing,21.6,67,41,54,4.95,,0
330,1273,1713A46TEST0000000000013617,Meranti Kuning,18.1,68,50,59,4.95,,0
331,547,1713A46TEST0000000000012891,Keruing,16.7,61,44,52,3.55,,0
332,3197,1713A46TEST0000000000015541,Keruing,16,93,68,80,8.04,,0
