NoRakit,nomorBatang,barcode,jenisKayu,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
2668,2562,1713A46TEST0000000000014906,Keruing,14.6,68,45,56,3.6,,0
2669,2912,1713A46TEST0000000000015256,Keruing,19.1,70,52,61,5.58,,0
2670,1405,1713A46TEST0000000000013749,Meranti Merah,17.2,73,58,65,5.71,,0
2671,641,1713A46TEST0000000000012985,Benuas,12.4,58,48,53,2.74,,0
2672,3264,1713A46TEST0000000000015608,Keruing,10.7,62,46,54,2.45,,0
2673,1794,1713A46TEST0000000000014138,Meranti Merah,11,60,56,58,2.91,,0
2674,3216,1713A46TEST0000000000015560,Benuas,12,72,58,65,3.98,,0
2675,1036,1713A46TEST0000000000013380,Keruing,18.2,60,40,50,3.57,,0
2676,278,1713A46TEST0000000000012622,Meranti Merah,19.3,92,71,81,9.95,,0
2677,222,1713A46TEST0000000000012566,Keruing,19.4,79,65,72,7.9,,0
2678,3127,1713A46TEST0000000000015471,Keruing,14.2,87,71,79,6.96,,0
2679,3191,1713A46TEST0000000000015535,Keruing,17.4,95,74,84,9.64,,0
2680,2845,1713A46TEST0000000000015189,Keruing,12.6,77,61,69,4.71,,0
2681,2305,1713A46TEST0000000000014649,Keruing,18.7,58,41,49,3.53,,0
2682,2249,1713A46TEST0000000000014593,Mersawa,16.4,75,54,64,5.28,,0
2683,2057,1713A46TEST0000000000014401,Keruing,17.2,68,54,61,5.03,,0
2684,261,1713A46TEST0000000000012605,Keruing,20.1,62,44,53,4.43,,0
2685,1046,1713A46TEST0000000000013390,Meranti Merah,16.1,67,55,61,4.71,,0
2686,3170,1713A46TEST0000000000015514,Keruing,21.1,62,42,52,4.48,,0
2687,527,1713A46TEST0000000000012871,Keruing,17.8,60,44,52,3.78,,0
2688,2963,1713A46TEST0000000000015307,Benuas,14,60,44,52,2.97,,0
2689,3065,1713A46TEST0000000000015409,Keruing,11.4,68,57,62,3.44,,0
2690,1090,1713A46TEST0000000000013434,Meranti Merah,16.2,95,85,90,10.31,,0
2691,2595,1713A46TEST0000000000014939,Meranti Merah,14.4,77,67,72,5.86,,0
2692,2467,1713A46TEST0000000000014811,Keruing,22.5,65,44,54,5.15,,0
2693,721,1713A46TEST0000000000013065,Benuas,20.2,72,52,62,6.1,,0
2694,2922,1713A46TEST0000000000015266,Keruing,22.6,104,68,86,13.13,,0
2695,277,1713A46TEST0000000000012621,Meranti Merah,15.6,64,52,58,3.9,12,5.4
2696,904,1713A46TEST0000000000013248,Meranti Merah,17.6,70,55,62,5.31,,0
2697,2716,1713A46TEST0000000000015060,Mersawa,17.7,67,46,56,4.36,,0
2698,2617,1713A46TEST0000000000014961,Meranti Kuning,11.9,64,50,57,3.04,,0
2699,2421,1713A46TEST0000000000014765,Keruing,18.5,59,45,52,3.93,,0
2700,1059,1713A46TEST0000000000013403,Benuas,14.6,70,61,65,4.84,,0
2701,2423,1713A46TEST0000000000014767,Meranti Batu,16.4,63,50,56,4.04,,0
2702,623,1713A46TEST0000000000012967,Keruing,18.8,64,44,54,4.31,,0
