noBtg,idBarcode,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
B2522,,MR,20.3,81,56,68,7.37,0,0
B2523,,MR,10.9,55,45,50,2.14,0,0
B2524,,KR,12.1,60,51,55,2.87,0,0
B2525,,KR,14.4,60,50,55,3.42,0,0
B2526,,KR,19.3,80,60,70,7.43,0,0
B2527,,KR,20.5,61,50,55,4.87,0,0
B2528,,KR,20.3,61,45,53,4.48,0,0
B2529,,KR,20.2,74,55,64,6.5,0,0
B2530,,KR,15.9,54,45,49,3,0,0
B2531,,KR,16,63,53,58,4.23,0,0
B2532,,KR,15.6,66,50,58,4.12,0,0
B2533,,KR,18,68,45,56,4.43,0,0
B2534,,KR,12.4,57,42,49,2.34,0,0
B2535,,KR,13.6,57,43,50,2.67,0,0
B2536,,KR,18.2,67,52,59,4.98,0,0
B2537,,KR,17.1,52,39,45,2.72,0,0
B2538,,KR,15.7,52,41,46,2.61,0,0
B2539,,KR,21.9,71,55,63,5.95,20,12.8
B2540,,MR,16.3,69,53,61,4.76,0,0
B2541,,MR,14,60,50,55,3.33,0,0
B2542,,MR,16.8,54,40,47,2.91,0,0
B2543,,MR,17.3,75,56,65,5.74,0,0
B2544,,MR,18.9,56,45,50,3.71,0,0
B2545,,MR,15,59,50,54,3.18,13,7.4
B2546,,MB,15.4,68,57,62,4.65,0,0
B2547,,MB,9.7,65,55,60,2.74,0,0
B2548,,MR,12.4,59,50,54,2.71,10,4.4
B2549,,MR,13.3,55,42,48,2.41,0,0
B2550,,MR,22,68,47,57,5.39,10,3.9
B2551,,MR,15.2,60,46,53,3.35,0,0
B2552,,MR,11.3,55,48,51,2.31,0,0
B2553,,MR,16,59,46,52,3.4,0,0
B2554,,BNS,11.2,58,54,56,2.76,0,0
B2555,,MR,11,64,55,59,3.01,0,0
B2556,,MR,12.3,58,47,52,2.61,0,0
B2557,,MR,16.5,63,50,56,4.06,0,0
B2558,,MB,14.2,68,54,61,3.83,15,7.7
B2559,,MR,16.6,56,42,49,3.13,0,0
B2560,,BNS,17.2,75,70,72,6.71,13,4.2
B2561,,KR,19,69,50,59,5.19,0,0
B2562,,KR,22.9,68,51,59,6.26,0,0
B2563,,KR,19.9,102,82,92,13.23,0,0
B2564,,KR,15.2,66,49,57,3.88,0,0
B2565,,KR,16.8,68,54,61,4.91,0,0
B2566,,KR,16.8,62,42,52,3.57,0,0
B2567,,KR,17.6,67,51,59,4.81,0,0
B2568,,KR,19.2,65,40,52,4.08,0,0
B2569,,KR,15,65,59,62,4.53,0,0
B2570,,KR,14.6,68,51,59,3.99,0,0
B2571,,KR,14.4,56,39,47,2.5,0,0
B2572,,KR,17,67,50,58,4.49,0,0
B2573,,KR,18.3,84,59,71,7.25,0,0
B2574,,KR,13.8,61,47,54,3.16,0,0
B2575,,MRS,17.2,59,36,47,2.98,0,0
B2576,,KR,17.3,60,40,50,3.4,0,0
B2577,,KR,18.7,60,40,50,3.67,0,0
B2578,,KR,15,63,52,57,3.83,0,0
B2579,,BNS,8.4,63,54,58,2.22,0,0
B2580,,BNS,16.8,68,54,61,4.91,0,0
B2581,,KR,13.6,74,59,66,4.65,0,0
B2582,,KR,16.8,72,54,63,4.75,17,9.3
B2583,,KR,18.4,62,45,53,4.06,0,0
B2584,,KR,11,55,41,48,1.99,0,0
B2585,,KR,17,61,41,51,3.47,0,0
B2586,,BNS,9.2,60,54,57,2.35,0,0
B2587,,BNS,10.4,66,52,59,2.69,12,5.3
B2588,,KR,14,58,40,49,1.83,24,30.5
B2589,,BNS,13.3,60,51,55,3.16,0,0
B2590,,KR,11,55,44,49,2.07,0,0
B2591,,KR,14.1,57,44,50,2.77,0,0
B2592,,MR,13.7,56,48,52,2.91,0,0
B2593,,BNS,11,50,44,47,1.91,0,0
B2594,,BNS,15.3,53,42,47,2.65,0,0
B2595,,KR,20.7,63,44,53,4.57,0,0
B2596,,KR,16,64,49,56,3.94,0,0
B2597,,BNS,15.6,50,40,45,2.48,0,0
B2598,,KR,20.9,57,40,48,3.78,0,0
B2599,,KR,12,60,45,52,2.55,0,0
B2600,,KR,13.3,55,40,47,2.31,0,0
B2601,,KR,17.2,58,38,48,3.11,0,0
B2602,,KR,18.4,58,43,50,3.61,0,0
B2603,,KR,14.2,53,40,46,2.36,0,0
B2604,,KR,16.1,57,39,48,2.75,10,5.5
B2605,,KR,18,59,41,50,3.53,0,0
