noBtg,idBarcode,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
B2132,,MR,17.1,57,50,53,3.77,0,0
B2133,,KR,23.3,64,49,56,5.74,0,0
B2134,,KR,18.8,56,40,48,3.4,0,0
B2135,,KR,18.7,65,44,54,4.28,0,0
B2136,,KR,13.1,69,57,63,4.08,0,0
B2137,,MR,16.2,59,41,50,3.18,0,0
B2138,,BNS,15.7,56,44,50,3.08,0,0
B2139,,MR,20.8,77,58,67,7.33,0,0
B2140,,MB,20,67,50,58,5.28,0,0
B2141,,BNS,17.1,66,57,61,4.44,18,11.1
B2142,,MR,22.2,61,47,54,4.76,12,6.3
B2143,,MR,16.8,57,43,50,3.3,0,0
B2144,,MR,20,60,45,52,4.25,0,0
B2145,,KR,11.9,93,74,83,6.17,15,4.2
B2146,,KR,18.4,54,39,46,3.06,0,0
B2147,,KR,19.1,66,48,57,4.87,0,0
B2148,,KR,21.6,72,58,65,7.17,0,0
B2149,,KR,13.3,63,58,60,3.76,0,0
B2150,,KR,12,58,55,56,2.96,0,0
B2151,,KR,14,51,43,47,2.43,0,0
B2152,,KR,19.7,60,48,54,4.31,10,4.4
B2153,,KR,18.2,61,41,51,3.72,0,0
B2154,,KR,20.1,69,46,57,5.13,0,0
B2155,,KR,20.3,87,65,76,9.21,0,0
B2156,,MR,15.5,60,51,55,3.68,0,0
B2157,,KR,11.6,50,40,45,1.84,0,0
B2158,,KR,19.3,72,45,58,5.1,0,0
B2159,,KR,9.9,77,58,67,3.49,0,0
B2160,,MR,17.9,71,57,64,5.76,0,0
B2161,,MR,21,66,52,59,5.74,0,0
B2162,,BNS,15.1,84,72,78,7.22,0,0
B2163,,BNS,8.1,68,58,63,2.52,0,0
B2164,,BNS,15.5,74,62,68,5.07,19,9.9
B2165,,BNS,14.5,63,54,58,3.31,19,13.7
B2166,,MB,9,55,49,52,1.91,0,0
B2167,,KR,16.3,61,43,52,3.46,0,0
B2168,,MB,12.3,72,58,65,3.84,14,5.9
B2169,,KR,15.8,51,38,44,2.4,0,0
B2170,,BNS,14.4,55,38,46,2.39,0,0
B2171,,BNS,10.3,66,57,61,2.89,11,4.1
B2172,,BNS,14.8,56,45,50,2.76,10,5.1
B2173,,KR,17,57,38,47,2.95,0,0
B2174,,KR,19,57,38,47,3.3,0,0
B2175,,KR,14.8,61,42,51,3.02,0,0
B2176,,KR,19.6,63,46,54,4.16,13,7.4
B2177,,KR,16.5,84,65,74,7.1,0,0
B2178,,KR,16.9,57,40,48,3.06,0,0
B2179,,KR,15.4,62,52,57,3.93,0,0
B2180,,KR,14,51,39,45,2.23,0,0
B2181,,KR,13.7,64,57,60,3.87,0,0
B2182,,KR,12.7,72,63,67,4.48,0,0
B2183,,BNS,18.2,55,47,51,3.72,0,0
B2184,,BNS,16.2,52,44,48,2.35,19,19.9
B2185,,MR,17.4,70,64,67,6.13,0,0
B2186,,BNS,12.8,57,43,50,2.22,15,11.5
B2187,,KR,19.2,57,41,49,3.62,0,0
B2188,,BNS,16.6,56,48,52,3.15,15,10.6
B2189,,MR,16.2,68,56,62,4.89,0,0
B2190,,BNS,14,52,43,47,2.11,15,13
B2191,,MR,9,79,72,75,3.61,20,9.1
B2192,,MR,15.6,59,47,53,3.44,0,0
B2193,,MR,21.1,61,44,52,4.48,0,0
B2194,,KR,9.1,64,58,61,2.66,0,0
B2195,,KR,10.1,90,64,77,4.7,0,0
B2196,,KR,16.2,71,52,61,4.73,0,0
B2197,,KR,12.1,71,53,62,3.65,0,0
B2198,,KR,11.5,58,52,55,2.27,20,16.8
B2199,,MR,15.9,69,57,63,4.96,0,0
B2200,,KR,19.2,56,47,51,3.43,16,12.5
B2201,,KR,17.3,60,46,53,3.82,0,0
B2202,,KR,19.6,64,44,54,4.49,0,0
B2203,,BNS,14.8,53,42,47,2.03,19,20.8
B2204,,KR,12.6,73,65,69,4.71,0,0
B2205,,KR,14.9,59,48,53,3.29,0,0
B2206,,KR,13.3,58,42,50,2.48,10,5.1
B2207,,KR,13.2,55,41,48,2.39,0,0
B2208,,KR,17,52,39,45,2.7,0,0
B2209,,KR,22.1,82,62,72,9,0,0
B2210,,KR,16.9,64,43,53,3.73,0,0
B2211,,BNS,16.3,70,55,62,4.92,0,0
B2212,,BNS,14.9,65,55,60,3.67,19,12.8
B2213,,MB,14.5,72,56,64,4.09,20,12.4
B2214,,BNS,14.8,54,42,48,2.68,0,0
B2215,,MR,12.4,55,46,50,2.43,0,0
B2216,,KR,19.2,76,59,67,6.77,0,0
B2217,,KR,18,79,55,67,6.35,0,0
B2218,,MR,18.6,77,53,65,6.17,0,0
B2219,,KR,14.7,55,40,47,2.55,0,0
B2220,,KR,17.3,72,49,60,4.89,0,0
B2221,,KR,15.9,80,51,65,5.28,0,0
B2222,,MR,18.7,87,70,78,8.94,0,0
B2223,,MR,19.5,55,45,50,3.83,0,0
B2224,,BNS,20.9,77,54,65,6.94,0,0
B2225,,KR,15.1,66,49,57,3.85,0,0
B2226,,KR,22.1,66,42,54,5.06,0,0
B2227,,KR,18.7,67,54,60,5.1,10,3.5
B2228,,KR,12.9,55,45,50,2.53,0,0
B2229,,BNS,15.5,71,54,62,4.53,10,3.3
B2230,,MB,17.2,64,54,59,4.7,0,0
B2231,,MR,17.8,68,49,58,4.7,0,0
B2232,,MR,17,65,52,58,4.49,0,0
B2233,,MR,14.7,55,45,50,2.89,0,0
B2234,,KR,16.5,54,40,47,2.86,0,0
B2235,,MR,16.7,57,46,51,3.41,0,0
B2236,,MR,15.1,61,51,56,3.72,0,0
B2237,,KR,18.5,63,43,53,4.08,0,0
B2238,,KR,16,57,43,50,3.14,0,0
B2239,,KR,18.1,57,35,46,3.01,0,0
B2240,,KR,13.6,66,47,56,3.35,0,0
B2241,,KR,18,67,49,58,4.76,0,0
B2242,,MR,16.4,55,49,52,3.48,0,0
B2243,,MB,14.3,59,51,55,3.4,0,0
B2244,,MR,16,65,49,57,4.08,0,0
B2245,,MR,11.3,72,68,70,3.9,20,10.4
B2246,,KR,20.6,68,52,60,5.82,0,0
B2247,,KR,17.5,77,57,67,6.17,0,0
B2248,,MR,14.3,83,60,71,5.49,11,3.1
B2249,,MR,15.4,61,47,54,3.13,16,11.2
B2250,,KR,16,65,43,54,3.66,0,0
B2251,,KR,17.2,74,51,62,5.19,0,0
B2252,,KR,17.9,61,43,52,3.8,0,0
B2253,,KR,17.3,57,44,50,3.4,0,0
B2254,,KR,14.2,68,47,57,3.62,0,0
B2255,,MR,20.1,62,53,57,5.13,0,0
B2256,,MR,19.3,68,48,58,5.1,0,0
B2257,,MR,18,56,45,50,3.53,0,0
B2258,,MR,18.4,62,51,56,4.53,0,0
B2259,,BNS,16.5,64,49,56,4.06,0,0
B2260,,MR,15.6,58,45,51,3.19,0,0
B2261,,KR,18.2,59,48,53,4.02,0,0
B2262,,KR,17.9,61,45,53,3.95,0,0
B2263,,KR,18,86,73,79,8.82,0,0
B2264,,MB,18.3,61,49,55,4.35,0,0
B2265,,MR,16.3,63,46,54,3.73,0,0
B2266,,MB,14,56,44,50,2.75,0,0
B2267,,MR,14.9,61,49,55,3.54,0,0
B2268,,KR,17.7,70,46,58,4.68,0,0
B2269,,BNS,14,61,48,54,2.75,18,14.1
B2270,,BNS,17.7,58,44,51,3.04,18,15.9
B2271,,MR,23.7,95,67,81,12.21,0,0
B2272,,MR,22.4,65,45,55,5.32,0,0
B2273,,KR,18.2,64,48,56,4.48,0,0
B2274,,BNS,15.7,62,50,56,3.17,21,17.9
B2275,,BNS,15,58,45,51,2.73,15,11
B2276,,MR,21.5,72,55,63,6.7,0,0
B2277,,KR,17.5,61,46,53,3.86,0,0
B2278,,MB,13.7,64,57,60,3.68,12,5.1
B2279,,MR,18,74,54,64,5.33,16,8
B2280,,BNS,14.3,60,46,53,3.15,0,0
B2281,,MR,16.8,55,40,47,2.91,0,0
B2282,,KR,15.5,57,39,48,2.8,0,0
B2283,,KR,21.4,58,40,49,4.04,0,0
B2284,,KR,17.8,53,39,46,2.96,0,0
B2285,,KR,23,68,51,59,6.29,0,0
B2286,,KR,11.8,67,54,60,3.19,11,4.3
B2287,,KR,15.8,59,49,54,3.62,0,0
B2288,,KR,18.1,63,40,51,3.7,0,0
B2289,,KR,23,76,57,66,7.12,18,9.5
B2290,,KR,21.5,60,38,49,4.05,0,0
B2291,,KR,23.7,72,52,62,7.16,0,0
B2292,,KR,14.7,53,40,46,2.15,14,11.8
B2293,,MB,17.5,70,53,61,4.48,19,12.4
B2294,,MR,16.8,58,42,50,3.3,0,0
B2295,,MR,16.7,63,51,57,4.1,10,3.9
B2296,,MR,22.2,59,42,50,4.36,0,0
B2297,,MR,16.5,70,55,62,4.98,0,0
B2298,,MR,15.8,55,42,48,2.86,0,0
B2299,,MR,19.4,93,78,85,10.15,21,7.8
B2300,,BNS,17,94,71,82,8.55,16,4.8
B2301,,MR,17,68,58,63,5.3,0,0
B2302,,MR,18.8,66,50,58,4.97,0,0
B2303,,MR,18.7,80,64,72,7.61,0,0
B2304,,KR,20.6,81,53,67,7.26,0,0
B2305,,KR,20.5,71,47,59,5.6,0,0
B2306,,MR,15.2,61,50,55,3.61,0,0
B2307,,KR,15.9,65,48,56,3.92,0,0
B2308,,BNS,15.2,69,63,66,5.2,0,0
B2309,,MR,15.6,63,53,58,4.12,0,0
B2310,,BNS,14.4,65,53,59,3.94,0,0
B2311,,KR,15.2,63,46,54,3.48,0,0
B2312,,BNS,13.9,65,51,58,3.36,15,8.5
B2313,,KR,14.4,63,50,56,3.55,0,0
B2314,,BNS,16.5,59,42,50,3.24,0,0
B2315,,KR,13.9,51,42,46,2.31,0,0
B2316,,BNS,13.2,66,51,58,3.49,0,0
B2317,,KR,13.5,57,43,50,2.65,0,0
B2318,,MR,12.9,55,45,50,2.53,0,0
B2319,,KR,15.5,65,56,60,4.19,11,4.3
B2320,,KR,18.1,66,48,57,4.62,0,0
B2321,,KR,20.3,61,44,52,4.31,0,0
B2322,,MR,12,66,47,56,2.96,0,0
B2323,,KR,12.7,51,40,45,2.02,0,0
B2324,,KR,14,56,45,50,2.75,0,0
B2325,,KR,15.9,60,47,53,3.51,0,0
B2326,,KR,19.9,63,42,52,4.23,0,0
B2327,,KR,16.7,56,41,48,3.02,0,0
B2328,,KR,15.9,65,49,57,4.06,0,0
B2329,,KR,17.5,61,48,54,4.01,0,0
B2330,,KR,18.5,57,44,50,3.63,0,0
B2331,,KR,18.8,77,52,64,6.05,0,0
B2332,,KR,16.7,64,55,59,4.57,0,0
B2333,,BNS,18.4,93,76,84,9.61,18,5.8
B2334,,MR,19.5,54,46,50,3.83,0,0
B2335,,KR,17.3,76,48,62,5.22,0,0
B2336,,KR,18.3,69,48,58,4.84,0,0
B2337,,KR,19,60,46,53,4.19,0,0
B2338,,MR,19.4,61,50,55,4.61,0,0
B2339,,KR,13.3,73,63,68,4.83,0,0
B2340,,KR,12.3,85,71,78,5.88,0,0
B2341,,MR,15.5,63,51,57,3.96,0,0
B2342,,KR,17.2,57,42,49,3.24,0,0
B2343,,KR,14.9,60,50,55,3.54,0,0
B2344,,KR,21.6,66,42,54,4.95,0,0
B2345,,KR,14.4,61,52,56,3.55,0,0
B2346,,MR,20.9,82,58,70,8.04,0,0
B2347,,BNS,16.7,59,46,52,3.55,0,0
B2348,,KR,20.3,77,52,64,6.53,0,0
B2349,,KR,17.2,60,42,51,3.51,0,0
B2350,,KR,15.4,58,44,51,3.15,0,0
B2351,,KR,17.3,73,44,58,4.57,0,0
B2352,,BNS,12.9,66,57,61,3.77,0,0
B2353,,BNS,17.1,61,43,52,3.63,0,0
B2354,,KR,19.7,63,42,52,4.18,0,0
B2355,,KR,18.4,80,56,68,6.68,0,0
B2356,,KR,18.7,77,64,70,7.2,0,0
B2357,,KR,14,66,53,59,3.83,0,0
B2358,,KR,21.2,72,55,63,6.61,0,0
B2359,,MR,18.3,61,49,55,4.35,0,0
B2360,,MR,19.2,69,56,62,5.8,0,0
B2361,,MR,17.5,65,44,54,4.01,0,0
B2362,,BNS,19,50,40,45,2.83,10,6.3
B2363,,KR,22.6,66,48,57,5.77,0,0
B2364,,KR,22.8,88,53,70,8.77,0,0
B2365,,KR,20.4,73,44,58,5.39,0,0
B2366,,KR,13.1,68,61,64,3.64,21,13.7
B2367,,KR,17.6,69,51,60,4.98,0,0
B2368,,MR,14.2,78,68,73,5.94,0,0
B2369,,MR,16.7,77,61,69,6.24,0,0
B2370,,KR,22.3,64,42,53,4.92,0,0
B2371,,MR,17,59,42,50,3.34,0,0
B2372,,KR,18.2,58,42,50,3.57,0,0
B2373,,KR,16.9,58,37,47,2.93,0,0
B2374,,KR,21.7,71,47,59,5.93,0,0
B2375,,KR,19.8,64,48,56,4.88,0,0
B2376,,KR,17.6,55,39,47,3.05,0,0
B2377,,KR,17.1,69,51,60,4.83,0,0
B2378,,KR,20,66,47,56,4.93,0,0
B2379,,KR,17.3,67,50,58,4.57,0,0
B2380,,KR,13.4,59,40,49,2.53,0,0
B2381,,KR,19.4,65,46,55,4.61,0,0
B2382,,KR,17,56,40,48,3.08,0,0
B2383,,KR,18.6,57,46,51,3.8,0,0
B2384,,MB,17.3,82,63,72,7.04,0,0
B2385,,BNS,16.3,61,47,54,3.73,0,0
B2386,,BNS,16.6,61,49,55,3.94,0,0
B2387,,MR,16.9,55,40,47,2.93,0,0
B2388,,MR,18.2,54,40,47,3.16,0,0
B2389,,MB,18.9,60,44,52,4.01,0,0
B2390,,BNS,13.9,60,51,55,3.3,0,0
B2391,,MR,13.2,61,50,55,2.88,14,8.2
B2392,,BNS,17.2,64,50,57,3.63,21,17.3
B2393,,BNS,16.1,62,50,56,3.04,24,23.4
B2394,,MR,15.5,56,40,48,2.8,0,0
B2395,,BNS,14.2,50,35,42,1.83,10,7.2
B2396,,BNS,12.9,55,40,47,1.95,15,13
B2397,,MR,10.2,57,49,53,2.25,0,0
B2398,,BNS,15.4,59,41,50,3.02,0,0
B2399,,MR,15.5,54,43,48,2.8,0,0
B2400,,MR,19.8,56,40,48,3.58,0,0
B2401,,BNS,13.6,62,53,57,3.47,0,0
B2402,,BNS,15.7,60,48,54,2.97,20,17.5
B2403,,MR,15.3,66,51,58,3.43,20,15.1
B2404,,KR,18.6,55,40,47,3.23,0,0
B2405,,KR,12.4,70,62,66,4.24,0,0
B2406,,KR,17.9,55,40,47,3.11,0,0
B2407,,MR,20.3,58,45,51,4.15,0,0
B2408,,MR,17,66,50,58,4.49,0,0
B2409,,BNS,19.1,57,43,50,3.75,0,0
B2410,,MB,15.2,57,48,52,2.42,23,24.9
B2411,,BNS,16.4,50,42,46,2.73,0,0
B2412,,BNS,15.3,62,50,56,3.16,20,16.2
B2413,,KR,21.1,74,50,62,6.37,0,0
B2414,,KR,21.3,67,46,56,5.25,0,0
B2415,,KR,14.6,52,37,44,2.22,0,0
B2416,,KR,13.3,70,54,62,4.02,0,0
B2417,,KR,14,54,40,47,2.43,0,0
B2418,,BNS,12.2,64,51,57,3.11,0,0
B2419,,KR,18.8,61,48,54,4.31,0,0
B2420,,KR,16,59,45,52,3.17,12,6.8
B2421,,KR,18.1,70,51,60,5.12,0,0
B2422,,KR,15.7,56,38,47,2.72,0,0
B2423,,KR,15.6,56,43,49,2.94,0,0
B2424,,KR,19.6,66,41,53,4.32,0,0
B2425,,KR,16,57,38,47,2.78,0,0
B2426,,KR,14.1,55,42,48,2.55,0,0
B2427,,KR,11.9,50,42,46,1.98,0,0
B2428,,KR,16.5,64,44,54,3.78,0,0
B2429,,KR,16.9,56,38,47,2.93,0,0
B2430,,KR,19,63,45,54,4.12,11,5.3
B2431,,KR,14.4,53,38,45,2.01,14,12.3
B2432,,KR,17.3,51,38,44,2.63,0,0
B2433,,MR,13.2,63,48,55,3.14,0,0
B2434,,KR,17.9,59,48,53,3.95,0,0
B2435,,KR,18.8,58,40,49,3.55,0,0
B2436,,KR,20.1,64,45,54,4.6,0,0
B2437,,KR,16.4,60,41,50,3.22,0,0
B2438,,KR,16.6,53,41,47,2.6,13,9.7
B2439,,MB,16.3,74,62,68,5.75,10,2.8
B2440,,BNS,17.7,65,52,58,4.68,0,0
B2441,,BNS,20.6,76,59,67,7.26,0,0
B2442,,MB,16.9,75,61,68,6.14,0,0
B2443,,MR,18.1,72,61,66,6.19,0,0
B2444,,MR,12.7,82,74,78,6.07,0,0
B2445,,MR,16.7,61,46,53,3.68,0,0
B2446,,MR,17.7,64,49,56,4.36,0,0
B2447,,BNS,15.5,52,40,46,2.31,13,10.2
B2448,,MR,17.7,84,67,75,7.82,0,0
B2449,,MR,19,85,66,75,8.2,10,2.3
B2450,,MR,16.4,57,47,52,3.48,0,0
B2451,,MR,17,68,53,60,4.81,0,0
B2452,,KR,18.3,63,46,54,4.19,0,0
B2453,,KR,20.5,71,47,59,5.6,0,0
B2454,,KR,18.4,66,48,57,4.7,0,0
B2455,,KR,15.2,72,56,64,4.89,0,0
B2456,,KR,17.3,71,50,60,4.89,0,0
B2457,,KR,20.7,66,54,60,5.85,0,0
B2458,,KR,19.6,55,45,50,3.85,0,0
B2459,,KR,16.9,62,49,55,4.02,0,0
B2460,,KR,10.6,91,70,80,5.33,0,0
B2461,,KR,21.4,65,49,57,5.46,0,0
B2462,,KR,21.6,69,53,61,6.31,0,0
B2463,,KR,20.7,66,42,54,4.74,0,0
B2464,,MRS,22,80,52,66,7.53,0,0
B2465,,BNS,15,55,46,50,2.73,12,7.3
B2466,,BNS,17.9,64,47,55,4.25,0,0
B2467,,MR,13.8,63,52,57,3.12,17,11.3
