noBtg,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
A6641,KR,21.1,81,52,66,7.22,0,0
A6642,KR,18.7,61,40,50,3.67,0,0
A6643,KR,14.7,67,42,54,3.37,0,0
A6644,KR,17.7,65,44,54,4.05,0,0
A6645,KR,21.9,77,54,65,7.27,0,0
A6646,KR,23.1,70,54,62,6.97,0,0
A6647,MRS,19.6,61,42,51,4,0,0
A6648,MR,20.4,68,53,60,5.77,0,0
A6649,BNS,18.2,56,42,49,3.43,0,0
A6650,BNS,18.9,59,50,54,4.33,0,0
A6651,MR,17,64,50,57,4.17,10,3.9
A6652,MR,14.8,70,54,62,4.13,15,7.5
A6653,MR,17.6,63,51,57,4.49,0,0
A6654,MB,17.5,104,88,96,12.67,0,0
A6655,KR,10.7,90,71,80,5.22,12,2.9
A6656,KR,21,72,51,61,6.14,0,0
A6657,KR,14.6,72,50,61,4.27,0,0
A6658,MB,8.2,63,51,57,1.83,18,12.7
A6663,MR,21.1,67,45,56,5.2,0,0
A6664,BNS,18,57,42,49,3.39,0,0
A6665,MR,15.1,65,51,58,3.99,0,0
A6666,MR,13.4,60,50,55,3.18,0,0
A6705,MR,14.8,66,48,57,3.78,0,0
A6706,MR,9.9,93,66,79,4.85,0,0
A6707,MR,12.5,62,52,57,3.19,0,0
A6708,MR,14,54,42,48,2.53,0,0
A6709,MR,19,82,62,72,7.74,0,0
A6944,MB,20.6,58,42,50,4.04,0,0
A6945,MR,19.5,67,51,59,5.33,0,0
A6946,MR,17.4,62,52,57,3.81,19,14.1
A6947,BNS,18.9,78,59,68,6.86,0,0
A6948,KR,22.9,70,45,57,4.93,20,15.7
A6949,BNS,19.4,69,52,60,5.49,0,0
A6950,MR,17.1,75,64,69,6.39,0,0
A6951,MR,20.5,73,51,62,6.19,0,0
A6952,MR,16.7,92,90,91,10.86,0,0
A6953,KR,10.9,91,75,83,5.9,0,0
A6954,KR,17.6,77,66,71,6.97,0,0
A6955,KR,14.8,81,64,72,6.03,0,0
A6957,KR,20.1,77,52,64,6.47,0,0
A6974,MB,12.7,57,42,49,2.07,16,13.6
A7043,MR,16,64,46,55,3.8,0,0
A7044,MR,13.8,61,40,50,2.71,0,0
A7048,KR,14.2,55,40,47,2.46,0,0
A7056,MR,20.5,60,44,52,4.35,0,0
A7057,MB,16,60,44,52,3.4,0,0
A7121,KR,14.8,60,40,50,2.91,0,0
A7183,MR,16.2,56,41,48,2.93,0,0
A7184,KR,21.4,69,48,58,5.65,0,0
A7188,KR,17.3,84,59,71,6.85,0,0
A7190,KR,15.8,57,40,48,2.86,0,0
A7191,KR,12.6,60,45,52,2.68,0,0
A7195,KR,16,55,40,47,2.78,0,0
A7198,KR,17.7,54,40,47,3.07,0,0
A7204,MR,21.9,67,52,59,5.99,0,0
A7205,MR,14.7,87,72,79,7.21,0,0
A7206,MR,16.6,78,62,70,6.39,0,0
A7207,MR,17.4,64,52,58,4.6,0,0
A7208,MR,18.7,65,46,55,4.44,0,0
A7209,MR,16.3,64,52,58,4.31,0,0
A7210,MR,22.7,73,51,62,6.85,0,0
A7211,MR,19.7,81,65,73,7.92,13,4
A7212,MR,15.9,66,47,56,3.4,18,13.2
A7213,MR,13.2,60,47,53,2.39,20,18.1
A7214,MR,16.9,58,45,51,3.45,0,0
A7215,MR,19.3,67,54,60,5.46,0,0
A7216,MR,21.8,65,47,56,5.37,0,0
A7217,MR,17.9,66,45,55,4.25,0,0
A7218,MR,14.3,55,41,48,2.59,0,0
A7219,MR,15.3,84,68,76,6.94,0,0
A7220,MR,20.4,81,59,70,7.85,0,0
A7221,MR,13.2,64,46,55,3.14,0,0
A7222,MR,15.9,64,45,54,3.64,0,0
A7223,MR,15.7,62,50,56,3.87,0,0
A7224,MR,21.7,70,53,61,6.34,0,0
A7225,MR,15.3,72,58,65,5.08,0,0
A7226,MR,19.6,63,53,58,5.18,0,0
A7227,MR,20.8,72,57,64,6.69,0,0
A7228,KR,18.4,59,43,51,3.76,0,0
A7229,KR,17.3,60,45,52,3.67,0,0
A7230,MR,16.9,66,50,58,4.47,0,0
A7231,MR,15.4,59,45,52,3.27,0,0
A7232,KR,17.1,61,46,53,3.09,20,18.1
A7233,MR,20.6,64,45,54,4.72,0,0
A7234,MR,11.7,70,63,66,4,0,0
A7235,MR,17,68,57,62,4.58,18,10.7
A7236,MR,16.2,62,45,53,2.93,20,18.1
A7237,MR,17.2,69,52,60,4.86,0,0
A7238,MR,13.5,54,44,49,2.55,0,0
A7239,KR,17.8,75,56,65,5.91,0,0
A7240,KR,16.3,61,48,54,3.73,0,0
A7241,KR,14.5,102,93,97,10.72,0,0
A7242,KR,19.8,71,50,60,4.55,23,18.7
A7243,KR,16.5,73,60,66,5.64,0,0
A7244,KR,21.2,97,64,80,10.66,0,0
A7245,KR,16.8,67,50,58,4.44,0,0
A7255,KR,13.2,76,60,68,4.79,0,0
A7260,KR,11.5,54,40,47,2,0,0
A7284,KR,17.8,60,43,51,3.64,0,0
A7285,KR,15.1,75,63,69,5.65,0,0
A7286,KR,17.7,62,44,53,3.9,0,0
A7287,MB,18.3,54,44,49,3.45,0,0
A7289,KR,22.4,71,46,58,5.92,0,0
A7292,KR,15.8,55,41,48,2.86,0,0
A7293,KR,14.2,54,40,47,2.46,0,0
A7294,KR,13.1,59,42,50,2.57,0,0
A7298,MR,14.8,55,41,48,2.68,0,0
A7307,MR,14.6,94,72,83,7.9,0,0
A7308,MR,13.1,54,44,49,2.47,0,0
A7309,MR,11,74,61,67,3.88,0,0
A7310,MR,19.2,68,42,55,4.56,0,0
A7311,MR,12.9,55,43,49,2.43,0,0
A7312,MR,14.2,66,57,61,4.15,0,0
A7313,MR,19.9,86,62,74,8.56,0,0
A7314,MR,19.5,70,53,61,5.7,0,0
A7315,KR,18.7,55,40,47,3.24,0,0
A7316,KR,17.7,61,40,50,3.48,0,0
A7317,BNS,16.7,57,44,50,3.28,0,0
A7318,KR,17.4,61,50,55,4.13,0,0
A7319,KR,12.6,55,48,51,2.36,13,8.3
A7320,KR,17.3,59,46,52,3.67,0,0
A7321,KR,19,62,45,53,4.19,0,0
A7322,KR,16.1,57,45,51,3.29,0,0
A7323,KR,17.5,84,64,74,7.53,0,0
A7324,KR,20.4,65,47,56,5.02,0,0
A7325,KR,18.1,57,40,48,3.28,0,0
A7326,KR,17.9,59,45,52,3.8,0,0
A7327,KR,21,70,48,59,5.74,0,0
A7328,KR,12.7,87,70,78,6.07,0,0
A7329,KR,10.1,70,61,65,3.35,0,0
A7330,MR,15.8,60,52,56,3.73,10,4.1
A7331,KR,13,60,50,55,3.09,0,0
A7332,KR,20.7,70,53,61,6.05,0,0
A7333,KR,20.4,62,40,51,4.17,0,0
A7334,KR,17.1,55,40,47,2.97,0,0
A7335,KR,18.1,56,40,48,3.28,0,0
A7336,MR,16.9,61,50,55,4.02,0,0
A7337,KR,14.4,64,59,61,4.21,0,0
A7338,KR,20.1,64,45,54,4.31,12,6.3
A7339,KR,19.5,65,52,58,5.15,0,0
A7340,KR,19.9,60,44,52,4.23,0,0
A7341,MB,13.7,72,58,65,4.55,0,0
A7345,MR,19.6,65,46,55,4.66,0,0
A7346,MR,20,81,59,70,7.7,0,0
