noBtg,idBarcode,jenis,panjang,pangkal,ujung,rata2,volume,grCm,gr%
66,,KR,4.2,58,49,53,0.93,0,0
67,,KR,4.2,49,45,47,0.73,0,0
68,,M,4.1,54,52,53,0.9,0,0
69,,SB,5.2,78,71,74,2.24,0,0
70,,M,4.2,51,48,49,0.79,0,0
71,,M,4.2,47,44,45,0.67,0,0
72,,RC,4.1,43,40,41,0.54,0,0
73,,RC,4.2,51,49,50,0.82,0,0
74,,RC,3.1,43,41,42,0.43,0,0
75,,RC,4.2,48,44,46,0.7,0,0
76,,KR,4.2,47,45,46,0.7,0,0
77,,RC,4.2,45,43,44,0.64,0,0
78,,M,4.3,44,42,43,0.62,0,0
79,,RC,3.2,49,46,47,0.56,0,0
80,,MB,4.2,76,71,73,1.76,0,0
81,,SB,5.2,74,70,72,2.12,0,0
93A,,MB,5.2,53,52,52,1.1,0,0
93B,,MB,5.1,52,47,49,0.96,0,0
93C,,MB,5.1,47,43,45,0.81,0,0
93D,,MB,3.7,43,42,42,0.51,0,0
94A,,MR,4.1,39,37,38,0.46,0,0
94B,,MR,4.1,37,36,36,0.42,0,0
94C,,MR,3.6,36,33,34,0.33,0,0
95A,,MB,4.5,42,37,39,0.54,0,0
95B,,MB,4.1,37,36,36,0.42,0,0
95C,,MB,4.2,36,34,35,0.4,0,0
96A,,MR,4.2,48,47,47,0.73,0,0
96B,,MR,4.1,44,42,43,0.6,0,0
96C,,MR,4.1,42,41,41,0.54,0,0
98A,,RC,4.1,46,41,43,0.6,0,0
98B,,RC,4.1,41,39,40,0.52,0,0
97A,,RC,5.2,59,49,54,1.19,0,0
97B,,RC,5.2,49,46,47,0.9,0,0
97C,,RC,4.1,46,45,45,0.65,0,0
98C,,RC,3.9,39,33,36,0.4,0,0
99A,,MB,5.1,58,54,56,1.26,0,0
99B,,MB,4.1,54,52,53,0.9,0,0
100A,,RC,4.1,48,47,47,0.71,0,0
100B,,RC,4.1,47,45,46,0.68,0,0
100C,,RC,3.1,45,43,44,0.47,0,0
100D,,RC,3.1,43,41,42,0.43,0,0
101A,,RC,4.1,48,40,44,0.62,0,0
101B,,RC,4.1,40,39,39,0.49,0,0
101C,,RC,4.1,39,38,38,0.46,0,0
101D,,RC,3.1,38,36,37,0.33,0,0
102A,,KR,5.1,55,52,53,1.13,0,0
102B,,KR,5.1,52,46,49,0.96,0,0
102C,,KR,5.1,46,43,44,0.78,0,0
102D,,KR,4.2,43,39,41,0.55,0,0
103A,,RC,4.1,48,46,47,0.71,0,0
103B,,RC,4.1,46,42,44,0.62,0,0
103C,,RC,4.1,42,37,39,0.49,0,0
103D,,RC,3.2,37,35,36,0.33,0,0
103E,,RC,3.2,35,32,33,0.27,0,0
104A,,SB,5.1,44,39,41,0.67,0,0
104B,,SB,5.1,39,33,36,0.52,0,0
104C,,SB,3.1,33,30,31,0.23,0,0
104D,,SB,3.1,30,30,30,0.22,0,0
105A,,MS,4.1,46,42,44,0.62,0,0
105B,,MS,4.1,42,38,40,0.52,0,0
105C,,MS,4.1,38,35,36,0.42,0,0
106A,,RC,4.1,44,40,42,0.57,0,0
106B,,RC,4.1,40,36,38,0.46,0,0
106C,,RC,4.1,36,28,32,0.33,0,0
107A,,MR,4.1,47,44,45,0.65,0,0
107B,,MR,4.1,44,40,42,0.57,0,0
107C,,MR,4.1,40,37,38,0.46,0,0
107D,,MR,3.2,37,36,36,0.33,0,0
108A,,KPS,4.1,50,44,47,0.71,0,0
108B,,KPS,4.1,49,47,48,0.74,0,0
108C,,KPS,4.1,47,43,45,0.65,0,0
108D,,KPS,3.6,43,42,42,0.5,0,0
101E,,RC,3,36,32,34,0.27,0,0
36B,,MB,5.3,58,57,57,1.35,0,0
36C,,MB,5.2,57,56,56,1.28,0,0
92A,,RC,5.1,47,47,47,0.88,0,0
92B,,RC,4.1,42,42,42,0.57,0,0
92C,,RC,4.1,37,37,37,0.44,0,0
35D,,0,3,41,40,40,0.38,0,0
106D,,RC,3.1,28,28,28,0.19,0,0
98E,,0,0,0,0,0,,0,
